,Book-Title,Book-Author,Publisher,Year-Of-Publication,Image-URL-M
288993,Silent Witness,RICHARD NORTH PATTERSON,Ballantine Books,1997,https://images.amazon.com/images/P/0345404769.01.MZZZZZZZ.jpg
291980,Midnight Bayou,Nora Roberts,Putnam Publishing Group,2001,https://images.amazon.com/images/P/0399148248.01.MZZZZZZZ.jpg
292219,Fingersmith,Sarah Waters,Riverhead Books,2002,https://images.amazon.com/images/P/1573229725.01.MZZZZZZZ.jpg
292598,Shadowfires,Dean R. Koontz,Berkley Publishing Group,1994,https://images.amazon.com/images/P/0425136981.01.MZZZZZZZ.jpg
294728,Remember Me,Mary Higgins Clark,Pocket,1995,https://images.amazon.com/images/P/0671867091.01.MZZZZZZZ.jpg
296720,It's Always Something,Gilda Radner,Avon,1990,https://images.amazon.com/images/P/0380710722.01.MZZZZZZZ.jpg
299425,Fatherhood,Bill Cosby,Berkley Publishing Group,1994,https://images.amazon.com/images/P/0425097722.01.MZZZZZZZ.jpg
301704,Kaleidoscope,Danielle Steel,Dell,1988,https://images.amazon.com/images/P/0440201926.01.MZZZZZZZ.jpg
301797,Secrets,DANIELLE STEEL,Dell,1986,https://images.amazon.com/images/P/0440176484.01.MZZZZZZZ.jpg
302559,The Long Road Home,DANIELLE STEEL,Delacorte Press,1998,https://images.amazon.com/images/P/0385319568.01.MZZZZZZZ.jpg
302815,"Like Water for Chocolate : A Novel in Monthly Installments with Recipes, Romances, and Home Remedies",LAURA ESQUIVEL,Anchor,1995,https://images.amazon.com/images/P/038542017X.01.MZZZZZZZ.jpg
304945,Bridge to Terabithia,Katherine Paterson,Avon Books,1979,https://images.amazon.com/images/P/0380432811.01.MZZZZZZZ.jpg
306526,The Saving Graces: A Novel,Patricia Gaffney,HarperTorch,2000,https://images.amazon.com/images/P/0061097101.01.MZZZZZZZ.jpg
307118,Invasion,Robin Cook,Berkley Publishing Group,1997,https://images.amazon.com/images/P/0425155404.01.MZZZZZZZ.jpg
309157,Blue Diary,Alice Hoffman,Berkley Publishing Group,2002,https://images.amazon.com/images/P/0425184943.01.MZZZZZZZ.jpg
311075,Moo,Jane Smiley,Ballantine Books,1996,https://images.amazon.com/images/P/0449910237.01.MZZZZZZZ.jpg
311942,Billy Straight : A Novel,JONATHAN KELLERMAN,Ballantine Books,1999,https://images.amazon.com/images/P/0345413865.01.MZZZZZZZ.jpg
312968,Macgregor Grooms,Nora Roberts,Silhouette,1998,https://images.amazon.com/images/P/0373483694.01.MZZZZZZZ.jpg
317446,Nicolae: The Rise of Antichrist,Tim F. Lahaye,Tyndale House Publishers,1998,https://images.amazon.com/images/P/0842329242.01.MZZZZZZZ.jpg
319698,Night Prey,John Sandford,Berkley Publishing Group,2004,https://images.amazon.com/images/P/0425146413.01.MZZZZZZZ.jpg
321319,The Crimson Petal and the White,Michel Faber,Harcourt,2002,https://images.amazon.com/images/P/015100692X.01.MZZZZZZZ.jpg
325700,Vector,Robin Cook,Putnam Pub Group,1999,https://images.amazon.com/images/P/0399144714.01.MZZZZZZZ.jpg
330220,Acceptable Risk,Robin Cook,Berkley Publishing Group,1996,https://images.amazon.com/images/P/0425151867.01.MZZZZZZZ.jpg
330860,The Switch,Sandra Brown,Warner Vision,2001,https://images.amazon.com/images/P/0446609943.01.MZZZZZZZ.jpg
331258,The Clan of the Cave Bear,Jean M. Auel,Bantam Books,1984,https://images.amazon.com/images/P/0553250426.01.MZZZZZZZ.jpg
331902,"Scarlett : The Sequel to Margaret Mitchell's \Gone With the Wind\""""",Alexandra Ripley,Warner Books,1992,https://images.amazon.com/images/P/0446363251.01.MZZZZZZZ.jpg
333605,Night Whispers,Judith McNaught,Pocket,1999,https://images.amazon.com/images/P/0671525743.01.MZZZZZZZ.jpg
335379,A Great Deliverance,Elizabeth George,Bantam Books,1989,https://images.amazon.com/images/P/0553278029.01.MZZZZZZZ.jpg
338506,Sacred Sins,Nora Roberts,Bantam Books,1990,https://images.amazon.com/images/P/0553265741.01.MZZZZZZZ.jpg
338995,The Sands of Time,Sidney Sheldon,Warner Books,1989,https://images.amazon.com/images/P/0446356832.01.MZZZZZZZ.jpg
339734,Touching Evil,Kay Hooper,Bantam Books,2001,https://images.amazon.com/images/P/0553583441.01.MZZZZZZZ.jpg
339843,Artemis Fowl,Eoin Colfer,Miramax Kids,2002,https://images.amazon.com/images/P/0786817070.01.MZZZZZZZ.jpg
344160,The Copper Beech,Maeve Binchy,Dell,1993,https://images.amazon.com/images/P/0440213290.01.MZZZZZZZ.jpg
345830,Key of Knowledge,Nora Roberts,Jove Books,2003,https://images.amazon.com/images/P/0515136379.01.MZZZZZZZ.jpg
345947,Key of Valor,Nora Roberts,Jove Pubns,2003,https://images.amazon.com/images/P/0515136530.01.MZZZZZZZ.jpg
346145,Key of Light,Nora Roberts,Jove Books,2003,https://images.amazon.com/images/P/051513628X.01.MZZZZZZZ.jpg
346963,Wifey,Judy Blume,Pocket,1989,https://images.amazon.com/images/P/0671693816.01.MZZZZZZZ.jpg
347343,The Bourne Ultimatum,Robert Ludlum,Bantam Books,1991,https://images.amazon.com/images/P/0553287737.01.MZZZZZZZ.jpg
351390,A Wrinkle In Time,MADELEINE L'ENGLE,Yearling,1998,https://images.amazon.com/images/P/0440498058.01.MZZZZZZZ.jpg
354220,The Boy Next Door,Meggin Cabot,Avon Trade,2002,https://images.amazon.com/images/P/0060096195.01.MZZZZZZZ.jpg
358793,Family Album,Danielle Steel,Dell,1989,https://images.amazon.com/images/P/0440124344.01.MZZZZZZZ.jpg
360391,Macgregor Brides,Nora Roberts,Silhouette,1997,https://images.amazon.com/images/P/0373483503.01.MZZZZZZZ.jpg
360620,Sanctuary,Nora Roberts,Jove Books,2004,https://images.amazon.com/images/P/0515122734.01.MZZZZZZZ.jpg
361022,Message from Nam,Danielle Steel,Dell,1991,https://images.amazon.com/images/P/0440209412.01.MZZZZZZZ.jpg
363023,The Pull of the Moon,Elizabeth Berg,Berkley Publishing Group,2000,https://images.amazon.com/images/P/0425176487.01.MZZZZZZZ.jpg
366561,Portrait in Death,Nora Roberts,Berkley Publishing Group,2003,https://images.amazon.com/images/P/0425189031.01.MZZZZZZZ.jpg
370463,All the Pretty Horses,CORMAC MCCARTHY,Vintage,1993,https://images.amazon.com/images/P/0679744398.01.MZZZZZZZ.jpg
371851,The Most Wanted,Jacquelyn Mitchard,Signet Book,1999,https://images.amazon.com/images/P/0451196856.01.MZZZZZZZ.jpg
373307,Eyes of a Child,Richard North Patterson,Random House Inc,1994,https://images.amazon.com/images/P/0679429883.01.MZZZZZZZ.jpg
374271,Exclusive,Sandra Brown,Warner Books,1997,https://images.amazon.com/images/P/0446604232.01.MZZZZZZZ.jpg
377288,Crazy for You,Jennifer Crusie,St Martins Pr,1999,https://images.amazon.com/images/P/0312198493.01.MZZZZZZZ.jpg
377347,GARDEN OF SHADOWS,Ariel Jennifer Jones,Pocket,1987,https://images.amazon.com/images/P/067164257X.01.MZZZZZZZ.jpg
378189,The Return Journey,MAEVE BINCHY,Dell,1999,https://images.amazon.com/images/P/0440224594.01.MZZZZZZZ.jpg
383711,Jewels of the Sun,Nora Roberts,Jove Books,2004,https://images.amazon.com/images/P/0515126772.01.MZZZZZZZ.jpg
386555,Heartbeat,Danielle Steel,Delacorte Press,1991,https://images.amazon.com/images/P/0385299087.01.MZZZZZZZ.jpg
390530,H Is for Homicide,Sue Grafton,Fawcett Books,1993,https://images.amazon.com/images/P/0449219461.01.MZZZZZZZ.jpg
392259,Mind Prey,John Sandford,Berkley Publishing Group,2004,https://images.amazon.com/images/P/0425152898.01.MZZZZZZZ.jpg
393514,Fortune's Rocks : A Novel,Anita Shreve,Back Bay Books,2001,https://images.amazon.com/images/P/0316678104.01.MZZZZZZZ.jpg
393757,The Cradle Will Fall,Mary Higgins Clark,Pocket,1991,https://images.amazon.com/images/P/0671741195.01.MZZZZZZZ.jpg
397966,Dream Country,Luanne Rice,Bantam Books,2002,https://images.amazon.com/images/P/055358264X.01.MZZZZZZZ.jpg
398576,Executive Orders,Tom Clancy,Berkley Publishing Group,1997,https://images.amazon.com/images/P/0425158632.01.MZZZZZZZ.jpg
398968,Cat and Mouse,James Patterson,Warner Books,1998,https://images.amazon.com/images/P/0446606189.01.MZZZZZZZ.jpg
401434,Blood Work,Michael Connelly,Warner Books,1998,https://images.amazon.com/images/P/0446602620.01.MZZZZZZZ.jpg
405920,Certain Prey,John Sandford,Berkley Publishing Group,2000,https://images.amazon.com/images/P/0425174271.01.MZZZZZZZ.jpg
406020,Easy Prey,John Sandford,Putnam Publishing Group,2000,https://images.amazon.com/images/P/039914613X.01.MZZZZZZZ.jpg
406323,Mortal Prey,John Sandford,Berkley Publishing Group,2003,https://images.amazon.com/images/P/0425189864.01.MZZZZZZZ.jpg
407576,Patriot Games,Tom Clancy,Berkley Publishing Group,1992,https://images.amazon.com/images/P/0425109720.01.MZZZZZZZ.jpg
408414,Zoya,Danielle Steel,Dell,1989,https://images.amazon.com/images/P/0440203856.01.MZZZZZZZ.jpg
409525,Inner Harbor,Nora Roberts,Jove Books,2001,https://images.amazon.com/images/P/0515124214.01.MZZZZZZZ.jpg
409712,No Greater Love,Danielle Steel,Dell,1992,https://images.amazon.com/images/P/0440213282.01.MZZZZZZZ.jpg
411999,My Gal Sunday,Mary Higgins Clark,Simon &amp; Schuster,1996,https://images.amazon.com/images/P/0684832291.01.MZZZZZZZ.jpg
413686,That Camden Summer,Lavyrle Spencer,Putnam Pub Group,1996,https://images.amazon.com/images/P/0399141200.01.MZZZZZZZ.jpg
429766,Guardian Angel,Sara Paretsky,Dell Publishing Company,1996,https://images.amazon.com/images/P/0440213991.01.MZZZZZZZ.jpg
463961,M Is for Malice,Sue Grafton,Fawcett Books,1998,https://images.amazon.com/images/P/0449223604.01.MZZZZZZZ.jpg
496020,Nothing Lasts Forever,Sidney Sheldon,Harpercollins Childrens Books,1994,https://images.amazon.com/images/P/0688084915.01.MZZZZZZZ.jpg
526676,Deck the Halls,Mary Higgins Clark,Pocket,2002,https://images.amazon.com/images/P/0743418131.01.MZZZZZZZ.jpg
